"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA02g06990D"	"DnaJ domain"
"BnaA02g07000D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaA02g07080D"	"Actin-related protein, Actin, conserved site, Actin/actin-like conserved site"
"BnaA02g07370D"	NA
"BnaA02g07500D"	"Smr protein/MutS2 C-terminal, UBA-like, Domain of unknown function DUF1771"
"BnaA02g07530D"	"C2 calcium-dependent membrane targeting, Phospholipase C, phosphatidylinositol-specific , X domain, Phosphoinositide phospholipase C, Phospholipase C, phosphatidylinositol-specific, Y domain, C2 calcium/lipid-binding domain, CaLB, Phospholipase C, phosphoinositol-specific, EF-hand-like, PLC-like phosphodiesterase, TIM beta/alpha-barrel domain, C2 membrane targeting protein"
"BnaA02g07540D"	"Armadillo, Armadillo-like helical, Armadillo-type fold"
"BnaA02g07550D"	"Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain"
"BnaA02g07640D"	"Helicase, C-terminal, DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site, Helicase-associated domain, Domain of unknown function DUF1605, Helicase, superfamily 1/2, ATP-binding domain"
"BnaA02g07650D"	NA
"BnaA02g08030D"	NA
"BnaA02g08060D"	"Zein-binding domain"
"BnaA02g08140D"	"Protein of unknown function DUF1423, plant"
"BnaA02g08150D"	"Domain of unknown function DUF1777"
"BnaA02g08520D"	"Ribosomal protein L31e, Ribosomal protein L31e, conserved site, Ribosomal protein L31e domain"
"BnaA02g08550D"	"Phosphofructokinase domain, Pyrophosphate-dependent phosphofructokinase TP0108, Phosphofructokinase"
"BnaA02g08950D"	NA
"BnaA02g09060D"	"Zinc finger, PHD-type, Zinc finger, FYVE/PHD-type, Zinc finger, RING/FYVE/PHD-type, DNA (cytosine-5)-methyltransferase 1, replication foci domain"
"BnaA02g09170D"	"Microtubule-associated protein, MAP65/Ase1/PRC1"
"BnaA02g09190D"	"Small GTPase superfamily, Ran GTPase, Small GTPase superfamily, Rho type, Small GTPase superfamily, Rab type, Small GTP-binding protein domain, Small GTPase superfamily, Ras type"
"BnaA02g09210D"	"Ubiquitin, Ubiquitin supergroup, Small ubiquitin-related modifier, SUMO"
"BnaA02g09470D"	"Breast carcinoma amplified sequence 3"
"BnaA02g09540D"	"Ribosomal protein L24, KOW, Ribosomal protein L24/L26, conserved site, Translation protein SH3-like domain, Ribosomal protein L2 domain 2"
"BnaA02g09780D"	NA
"BnaA02g09790D"	"Cyclic nucleotide-binding domain, RmlC-like jelly roll fold, Cyclic nucleotide-binding-like"
"BnaA02g10220D"	"Cytochrome b5-like heme/steroid binding domain, Cytochrome b5, heme-binding site"
"BnaA02g10310D"	NA
"BnaA02g10330D"	"Ubiquitin-conjugating enzyme, E2, Ubiquitin-conjugating enzyme/RWD-like, Ubiquitin-conjugating enzyme, active site"
"BnaA02g10560D"	"Longin domain, Longin-like domain"
"BnaA02g10860D"	"Multi antimicrobial extrusion protein"
"BnaA02g10900D"	NA
"BnaA02g10990D"	"EEIG1/EHBP1 N-terminal domain"
"BnaA02g11410D"	"Ribosomal L11 methyltransferase, PrmA, Bicoid-interacting 3, Bin3-type S-adenosyl-L-methionine binding domain"
"BnaA02g11420D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA02g11710D"	"GDP-fucose protein O-fucosyltransferase"
"BnaA02g11790D"	"Phox/Bem1p"
"BnaA02g11820D"	"Protein of unknown function DUF647"
"BnaA02g11840D"	"Methyltransferase type 11, Tocopherol O-methyltransferase"
"BnaA02g11890D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA02g12020D"	"PspA/IM30"
"BnaA02g12060D"	NA
"BnaA02g12100D"	"Zinc finger, RING-type, Zinc finger, RanBP2-type, Zinc finger, C6HC-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA02g12320D"	"Isocitrate dehydrogenase NADP-dependent, Isocitrate/isopropylmalate dehydrogenase, conserved site, Isopropylmalate dehydrogenase-like domain"
"BnaA02g12790D"	"Mannose-6-phosphate isomerase, type I, RmlC-like cupin domain, RmlC-like jelly roll fold, Mannose-6-phosphate isomerase, Phosphomannose isomerase, type I, conserved site"
"BnaA02g13060D"	"DNA primase, large subunit, eukaryotic/archaeal, DNA primase, large subunit, eukaryotic"
"BnaA02g13100D"	"Rubber elongation factor"
"BnaA02g13230D"	"Lipoxygenase, Lipoxygenase, LH2, Lipoxygenase, plant, Lipase/lipooxygenase, PLAT/LH2, Lipoxygenase, C-terminal, Lipoxygenase, iron binding site, Lipoxygenase, conserved site"
"BnaA02g13310D"	"Short-chain dehydrogenase/reductase SDR, Glucose/ribitol dehydrogenase, NAD(P)-binding domain, Short-chain dehydrogenase/reductase, conserved site"
"BnaA02g13340D"	"Pectate lyase/Amb allergen, Pectin lyase fold/virulence factor, Pectin lyase fold, AmbAllergen"
"BnaA02g13380D"	"Protein phosphatase 2C, manganese/magnesium aspartate binding site, Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaA02g13400D"	"Protein of unknown function DUF707"
"BnaA02g13410D"	NA
"BnaA02g13540D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA02g13620D"	NA
"BnaA02g13670D"	"Zinc finger, RING-type, Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type, Mitochondrial substrate/solute carrier, Mitochondrial carrier domain"
"BnaA02g13750D"	"Protein of unknown function DUF1639"
"BnaA02g14540D"	NA
"BnaA02g15480D"	NA
"BnaA02g15490D"	"Domain of unknown function DUF4283, Zinc knuckle CX2CX4HX4C"
"BnaA02g15600D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA02g16540D"	"F-box domain, cyclin-like, Kelch repeat type 1, Kelch-type beta propeller"
"BnaA02g16890D"	"Dolichol phosphate-mannose biosynthesis regulatory"
"BnaA02g16920D"	"Galactosyl transferase"
"BnaA02g17710D"	"Alpha crystallin/Hsp20 domain, HSP20-like chaperone"
"BnaA02g17740D"	NA
"BnaA02g17760D"	NA
"BnaA02g17770D"	NA
"BnaA02g17890D"	NA
"BnaA02g17990D"	"Protein of unknown function DUF626, Arabidopsis thaliana"
"BnaA02g18010D"	"Protein of unknown function DUF626, Arabidopsis thaliana"
"BnaA02g18220D"	NA
"BnaA02g18520D"	"SKI-interacting protein SKIP, SNW domain, SKI-interacting protein, SKIP"
"BnaA02g18840D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaA02g19190D"	"Proteasome, alpha-subunit, N-terminal domain, Proteasome, subunit alpha/beta, Proteasome A-type subunit"
"BnaA02g19210D"	NA
"BnaA02g19450D"	"Ribosomal protein L7, eukaryotic, Ribosomal protein L30, N-terminal, Ribosomal protein L30, ferredoxin-like fold domain"
"BnaA02g19700D"	"Amino acid transporter, transmembrane"
"BnaA02g20890D"	"RNA recognition motif domain, Paraneoplastic encephalomyelitis antigen, Nucleotide-binding, alpha-beta plait"
"BnaA02g21600D"	"Ran binding domain, Pleckstrin homology-like domain"
"BnaA02g22810D"	"Methyladenine glycosylase, DNA glycosylase"
"BnaA02g23820D"	NA
"BnaA02g24130D"	"Cysteine peptidase, cysteine active site, Peptidase C1A, papain C-terminal, Peptidase C1A, papain, Proteinase inhibitor I29, cathepsin propeptide, Cysteine peptidase, histidine active site, Cysteine peptidase, asparagine active site"
"BnaA02g24770D"	"Target SNARE coiled-coil domain, Syntaxin, N-terminal, Syntaxin/epimorphin, conserved site, t-SNARE"
"BnaA02g24830D"	"Peptidase A1"
"BnaA02g25020D"	"Chlorophyll a/b binding protein domain"
"BnaA02g25070D"	"Major sperm protein, PapD-like, Vesicle-associated membrane protein"
"BnaA02g25420D"	NA
"BnaA02g25430D"	NA
"BnaA02g25490D"	"Pectinesterase, catalytic, Pectin lyase fold/virulence factor, Pectin lyase fold, Pectinesterase, active site"
"BnaA02g25590D"	"Acyl carrier protein (ACP), Acyl carrier protein-like"
"BnaA02g27900D"	NA
"BnaA02g28660D"	"Ribosomal protein S21"
"BnaA02g29460D"	"B3 DNA binding domain, DNA-binding pseudobarrel domain"
"BnaA02g29530D"	"AIG2-like, Butirosin biosynthesis, BtrG-like"
"BnaA02g29950D"	NA
"BnaA02g29970D"	"Peptidase S8/S53 domain, Proteinase inhibitor I9, Peptidase S8, subtilisin-related, Peptidase S8, subtilisin, Ser-active site"
"BnaA02g30180D"	"Multicopper oxidase, type 1, Cupredoxin, Multicopper oxidase, type 2, Multicopper oxidase, type 3"
"BnaA02g30360D"	"Cyclin, N-terminal, Cyclin-like, Cyclin C/H/T/L, Cyclin C"
"BnaA02g31100D"	"Sugar/inositol transporter, General substrate transporter, Sugar transporter, conserved site, Major facilitator superfamily domain, general substrate transporter, Major facilitator superfamily domain"
"BnaA02g31530D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, UspA, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Rossmann-like alpha/beta/alpha sandwich fold, Tyrosine-protein kinase, catalytic domain"
"BnaA02g31600D"	"MATH, TRAF-like"
"BnaA02g32040D"	NA
"BnaA02g32260D"	NA
"BnaA02g32630D"	NA
"BnaA02g32660D"	"Disease resistance protein, NB-ARC"
"BnaA02g32710D"	"Disease resistance protein, NB-ARC"
"BnaA02g32800D"	"Cation-transporting P-type ATPase, Cation-transporting P-type ATPase, subfamily  V, P-type ATPase, A  domain, P-type ATPase, phosphorylation site, HAD-like domain, P-type ATPase, cytoplasmic domain N"
"BnaA02g32880D"	"Lipoyl synthase, Ferredoxin thioredoxin reductase, alpha chain, Electron transport accessory protein-like domain"
"BnaA02g32890D"	"High mobility group (HMG) box domain"
"BnaA02g33010D"	"PWWP, CID domain, ENTH/VHS"
"BnaA02g33520D"	"Cation-transporting P-type ATPase, H+ transporting P-type ATPase, subfamily IIIA, P-type ATPase, A  domain, P-type ATPase, phosphorylation site, HAD-like domain, P-type ATPase,  transmembrane domain, P-type ATPase, cytoplasmic domain N"
"BnaA02g33530D"	"Proton-dependent oligopeptide transporter family, Major facilitator superfamily domain, general substrate transporter"
"BnaA02g33540D"	"Uncharacterised protein family UPF0497, trans-membrane plant"
"BnaA02g33750D"	NA
"BnaA02g33910D"	"No apical meristem (NAM) protein"
"BnaA02g33980D"	"Zinc finger, RING-type, von Willebrand factor, type A, Copine, Zinc finger, RING/FYVE/PHD-type"
"BnaA02g34030D"	"Photosystem I PsaN, reaction centre subunit N"
"BnaA02g34040D"	"Phosphatidylinositol 3-/4-kinase, catalytic domain, Phosphoinositide 3-kinase, accessory (PIK) domain, Protein kinase-like domain, Phosphatidylinositol Kinase, Armadillo-type fold, Phosphatidylinositol 3/4-kinase, conserved site, Phosphatidylinositol 4-kinase"
"BnaA02g34200D"	"Tetrapeptide transporter, OPT1/isp4, Oligopeptide transporter OPT superfamily"
"BnaA02g34430D"	NA
"BnaA02g34470D"	NA
"BnaA02g34510D"	"Transcription factor, MADS-box, Transcription factor, K-box"
"BnaA02g34540D"	NA
"BnaA02g34960D"	"NADH:ubiquinone oxidoreductase-like, 20kDa subunit, NADH-ubiquinone oxidoreductase, 20 Kd subunit, [NiFe]-hydrogenase-3-type complex, small subunit/NADH:quinone oxidoreductase, subunit NuoB"
"BnaA02g35040D"	"Thioredoxin, Thioredoxin-like fold, Thioredoxin domain, Thioredoxin, conserved site"
"BnaA02g35120D"	"Transmembrane receptor, eukaryota"
"BnaA02g35220D"	"Xylose isomerase, Xylose isomerase-like, TIM barrel domain"
"BnaA02g35480D"	"Oleosin"
"BnaA02g36110D"	"Aldehyde dehydrogenase domain, Aldehyde/histidinol dehydrogenase, Aldehyde dehydrogenase, N-terminal, Aldehyde dehydrogenase, C-terminal"
"BnaA02g36180D"	"General substrate transporter, Major facilitator superfamily domain, general substrate transporter"
"BnaA02g37020D"	"Aromatic-ring hydroxylase-like, FAD dependent oxidoreductase, Squalene epoxidase"
"BnaA02g37060D"	"Recoverin, Calcium-binding EF-hand, EF-hand-like domain, EF-Hand 1, calcium-binding site"
"BnaA03g00040D"	"GOLD"
"BnaA03g00140D"	"Protein of unknown function DUF688"
"BnaA03g00180D"	"Leucine-rich repeat, cysteine-containing subtype"
"BnaA03g00190D"	"Methyltransferase FkbM, Methyltransferase type 11"
"BnaA03g00200D"	NA
"BnaA03g00210D"	"Aldo/keto reductase, Aldo/keto reductase, conserved site, Aldo/keto reductase subgroup, NADP-dependent oxidoreductase domain"
"BnaA03g00220D"	"Macrophage migration inhibitory factor, Tautomerase/MIF superfamily"
"BnaA03g00250D"	"Protein of unknown function DUF538"
"BnaA03g00260D"	"Ferritin, Ferritin/DPS protein domain, Ferritin- like diiron domain, Ferritin/ribonucleotide reductase-like, Ferritin-related, Ferritin, conserved site"
"BnaA03g00350D"	"Mitochondrial carrier protein, Mitochondrial substrate/solute carrier, Mitochondrial carrier domain"
"BnaA03g00360D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA03g00470D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA03g00480D"	"Legume lectin domain, Concanavalin A-like lectin/glucanases superfamily, Concanavalin A-like lectin/glucanase, subgroup"
"BnaA03g00520D"	"Protein of unknown function DUF3527"
"BnaA03g00740D"	"IQ motif, EF-hand binding site, Domain of unknown function DUF4005"
"BnaA03g00890D"	"Molybdopterin binding domain, Phosphoadenosine phosphosulphate reductase, Rossmann-like alpha/beta/alpha sandwich fold"
"BnaA03g00940D"	"Pentatricopeptide repeat, DnaJ homologue, subfamily C, member 28, conserved domain"
"BnaA03g01030D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Serine/threonine-protein kinase CTR1, Armadillo repeat-containing protein 3 and Serine/threonine-protein kinase CTR1"
"BnaA03g01150D"	"Patatin/Phospholipase A2-related, Acyl transferase/acyl hydrolase/lysophospholipase, Triacylglycerol lipase"
"BnaA03g01300D"	NA
"BnaA03g01340D"	"Enhancer of polycomb-like, N-terminal, Enhancer of polycomb protein"
"BnaA03g01360D"	"Ankyrin repeat, Ankyrin repeat-containing domain, PGG domain"
"BnaA03g01650D"	"Isopenicillin N synthase, Oxoglutarate/iron-dependent dioxygenase, Non-haem dioxygenase N-terminal domain"
"BnaA03g01690D"	"Anthranilate synthase component I, PabB-like, ADC synthase, Anthranilate synthase component I, N-terminal, Chorismate binding, C-terminal, Anthranilate synthase component I"
"BnaA03g01760D"	"JAB1/Mov34/MPN/PAD-1, Rpn11/EIF3F C-terminal domain"
"BnaA03g01770D"	"Drug/metabolite transporter, Domain of unknown function DUF250"
"BnaA03g01850D"	NA
"BnaA03g01990D"	"C2 calcium-dependent membrane targeting, von Willebrand factor, type A, C2 calcium/lipid-binding domain, CaLB, Copine, C2 membrane targeting protein"
"BnaA03g02010D"	"Tudor domain, Staphylococcal nuclease (SNase-like), Staphylococcal nuclease (SNase-like), OB-fold, RNA-induced silencing complex, nuclease component Tudor-SN"
"BnaA03g02040D"	"Glutamate/phenylalanine/leucine/valine dehydrogenase, Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal, Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain, Glutamate dehydrogenase, NAD(P)-binding domain"
"BnaA03g02130D"	NA
"BnaA03g02220D"	NA
"BnaA03g02250D"	"Transferase, Chloramphenicol acetyltransferase-like domain"
"BnaA03g02300D"	"Nucleic acid binding, OB-fold, tRNA/helicase-type, Replication factor-a protein 1 Rpa1, Replication factor-A protein 1, N-terminal, Nucleic acid-binding, OB-fold, Replication factor A, C-terminal"
"BnaA03g02310D"	NA
"BnaA03g02350D"	"Zinc finger, RING-type, Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA03g02390D"	"Peptidoglycan-binding Lysin subgroup"
"BnaA03g02410D"	"Peptidase S10, serine carboxypeptidase, Peptidase S10, serine carboxypeptidase, active site"
"BnaA03g02450D"	"CoA-binding, Succinyl-CoA ligase, alpha subunit, ATP-citrate lyase/succinyl-CoA ligase, NAD(P)-binding domain, Succinyl-CoA synthetase-like, ATP-citrate lyase/succinyl-CoA ligase, active site"
"BnaA03g02520D"	NA
"BnaA03g02570D"	"Calcium-binding EF-hand, EF-hand-like domain, EF-Hand 1, calcium-binding site"
"BnaA03g02580D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA03g02620D"	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain, ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal, AAA+ ATPase domain, ATPase, alpha/beta subunit, N-terminal, ATPase, F1 complex, beta subunit, ATPase, alpha/beta subunit, nucleotide-binding domain, active site, ATP synthase, F1 beta subunit, ATPase, F1 complex beta subunit/V1 complex, C-terminal"
"BnaA03g02910D"	"Multi antimicrobial extrusion protein"
"BnaA03g03070D"	"Peptidyl-tRNA hydrolase, PTH2, Protein-tyrosine phosphatase, low molecular weight, Peptidyl-tRNA hydrolase II domain"
"BnaA03g03080D"	"Centromere protein Cenp-O"
"BnaA03g03340D"	"Ubiquitin system component Cue"
"BnaA03g03370D"	"Clathrin/coatomer adaptor, adaptin-like, N-terminal, Armadillo-like helical, Beta2-adaptin/TBP, C-terminal domain, Beta-adaptin appendage, C-terminal subdomain, Armadillo-type fold, AP-1, 2,4 complex subunit beta, AP complex subunit beta"
"BnaA03g03380D"	"Domain of unknown function DUF814"
"BnaA03g03460D"	"Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24, Mitochondrial inner membrane translocase complex, subunit Tim17"
"BnaA03g03490D"	"Glycoside hydrolase, family 31, Galactose mutarotase-like domain, Aldolase-type TIM barrel, Glycoside hydrolase, superfamily, Glycoside hydrolase family 31, N-terminal domain"
"BnaA03g03550D"	"Ovarian tumour, otubain"
"BnaA03g03570D"	NA
"BnaA03g03750D"	"Carbon-nitrogen hydrolase"
"BnaA03g03800D"	"Protein kinase, catalytic domain, Calcium-binding EF-hand, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, EF-hand-like domain, Protein kinase, ATP binding site, EF-Hand 1, calcium-binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA03g03960D"	"Zinc finger, PHD-type, Protein kinase C-like, phorbol ester/diacylglycerol binding, DDT domain, Zinc finger, FYVE/PHD-type, Zinc finger, RING/FYVE/PHD-type, AT hook, DNA-binding motif, DDT domain, subgroup, DDT domain superfamily, Zinc finger, PHD-type, conserved site, Zinc finger, PHD-finger"
"BnaA03g04030D"	"Protein of unknown function DUF3411"
"BnaA03g04040D"	"CCAAT-binding transcription factor, subunit B, CCAAT-binding factor, conserved site"
"BnaA03g04230D"	"SWEET sugar transporter"
"BnaA03g04400D"	NA
"BnaA03g04690D"	"Aspartate/glutamate/uridylate kinase, Aspartate kinase domain, ACT domain, Aspartate kinase, conserved site"
"BnaA03g04870D"	"CCT domain"
"BnaA03g04930D"	"Aldose 1-/Glucose-6-phosphate 1-epimerase, Galactose mutarotase-like domain, Glycoside hydrolase-type carbohydrate-binding, subgroup"
"BnaA03g05100D"	"UDP-glucuronosyl/UDP-glucosyltransferase, Tudor domain"
"BnaA03g05120D"	"Lipase, class 3"
"BnaA03g05170D"	"Histidine phosphatase superfamily, clade-2"
"BnaA03g05300D"	"Ribosomal protein S4/S9, N-terminal, RNA-binding S4 domain, Ribosomal protein S4/S9, eukaryotic/archaeal, Ribosomal protein S4, conserved site, Ribosomal protein S4/S9"
